,Screen Name,User Name,Tweet Created At,User Location,Tweet Coordinates,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited,Replied,Tweet
1780,mr_kay_bee,DERELICT,2019-11-03 14:20:21,Kaduna  Lagos ,None,994,False,Twitter for Android,0,False,None,the university life you see in grownish vs real university life 
1781,tomazgreco,Thomas H Greco Jr,2019-11-03 14:20:19,"Tucson, Arizona",None,3959,False,Twitter for Android,0,False,None,denmark pays its students 1 000 a month to go to university and charge no tuition fees students are seen as an investment in the future rather than a cost 
1782,Crownnofwealth,Q. Esther,2019-11-03 14:20:19,"Ogun, Nigeria",None,1795,False,Twitter for Android,0,False,None,federal university of agriculture abeokuta expelled student activist for writing an open letter to the vc on facebook criticising the indiscriminate arrest of students by security agencies and poor transportation system on campus tyranny has been fully extended to our campus 
1783,dyllsim,Dyllan ♡,2019-11-03 14:20:19,"Michigan, USA",None,2920,False,Twitter for iPhone,0,False,None,twitter giveaway follow amp rt for a chance to win one of five thesims4 discover university codes there will be 5 different winners and the giveaway is open worldwide entry period ends november 14th good luck 
1784,night_YJH,NAI || ナイ,2019-11-03 14:20:18,"Bandung, Indonesia",None,30263,False,Twitter for Android,0,False,None,a cornell university study found that men overestimate their abilities and performance while women underestimate both a hewlett packard report also suggests men apply for jobs when they meet 60 of the qualifications but women apply if they meet 100 apply for the jobs ladies 
1785,IanWoodland,Ian Woodland,2019-11-03 14:20:18,Wessex,None,3959,False,Twitter for iPhone,0,False,None,denmark pays its students 1 000 a month to go to university and charge no tuition fees students are seen as an investment in the future rather than a cost 
1786,leelis__,leelis 💝,2019-11-03 14:20:18,Nigeria,None,2,False,Twitter for iPhone,0,False,None,did you know that university can be spelled as stress 
1787,adjshow,Angela de Joseph,2019-11-03 14:20:17,"Los Angeles, California",None,1581,False,Twitter Web App,0,False,None, benedict college university did not honor trump this bipartisan forum on criminal justice honored him so the university itself did not honor him students were sequestered in their dormitories only ten were invited amjoy 
1788,CareFreeNorene,Justa Crystal,2019-11-03 14:20:17,Somewhere south of Heaven  ,None,30263,False,Twitter for iPhone,0,False,None,a cornell university study found that men overestimate their abilities and performance while women underestimate both a hewlett packard report also suggests men apply for jobs when they meet 60 of the qualifications but women apply if they meet 100 apply for the jobs ladies 
1789,BoneDoc95,ShoulderDoc Navarro,2019-11-03 14:20:17,The 310,None,0,False,Twitter for iPhone,0,False,1190992907781709829, dominant vs non dominant side if dominant is he a thrower is he off to university or be in the trades did they make playoffs god forbid is he a smoker i tend to fix more and im not a fee for service guy but the degree of shortening is mild and it will likely heal well 
1790,ggrrtzz,nyiiroh,2019-11-03 14:20:16,,None,84,False,Twitter for iPhone,0,False,None,op asked if they become a teacher what kind of teacher they wanna be middle school pe teacher itll be fun university professor communication department wants to teach public speaking kindegarten he likes children 
1791,woowoowoohk,HK Woo,2019-11-03 14:20:14,,None,1128,False,Twitter for iPhone,0,False,None, breaking pro beijing lawmaker junius ho is being investigated by the uks solicitors regulation authority and he might be struck off a source reveals his honorary doctorate has recently been withdrawn by anglia ruskin university antielab antimasklaw hongkongprotests
1792,Rahhkeem,Erefagha 🇮🇹🌹,2019-11-03 14:20:14,"Port Harcourt, Nigeria",None,93,False,Twitter for iPhone,0,False,None,my sister can go to ukraine for study sponsored by my husband but his own sister is going to anambra state polytechnic we wld look for good private university in nigeria for the both of them if we cant sponsor them both to ukraine what is good for d goose is good for d gander
1793,green_object,A Green Object,2019-11-03 14:20:14,Hong Kong,None,121,False,Twitter Web App,0,False,None,riot police have arrested a second journalist of the baptist university s student media on sunday evening despite him wearing press credentials the university s student union immediately issued a statement condemning the police photo nowtv screenshot hongkong 
1794,prole_no,NoNameProle,2019-11-03 14:20:13,,None,3959,False,Twitter for iPhone,0,False,None,denmark pays its students 1 000 a month to go to university and charge no tuition fees students are seen as an investment in the future rather than a cost 
1795,LeeonPhelps,Rob Pelinker,2019-11-03 14:20:12,South Florida,None,8,False,Twitter for iPhone,0,False,None,gregory rousseau is up into the top 5 on miami s single season sacks list he s only the fourth player since at least 2000 with seven more more sacks in a two game span i m surprised every time shaquille quarterman said 
1796,BullPatriot,uneQuivocallyAmy⭐⭐⭐,2019-11-03 14:20:12,USA,None,472,False,Twitter for Android,0,False,None,20 at the end of november qanon asked us to focus on the relationships between obama hussein saudi arabia sa the harvard university muslim alumni huma and harvard law review hlr 
1797,irfansummy,",💐, Public Sab Janti Hai,, 🌹",2019-11-03 14:20:11,,None,53,False,Twitter for Android,0,False,None,international university being established in haripur by pti government on directions specialised subjects like artificial intelligence agriculture food technologies and railway engineering etc will be offered classes will start from next year nationtrustspmik 
1798,Equinsu___Ocha,President Donald The Dunce,2019-11-03 14:20:11,On the Toilet,None,0,False,Twitter for iPhone,0,False,1190996373736480768, he was ok with fake trump university no health care plan no plan for anything russian puppet not donating to vets nepotism in the wh not divesting from his business golfing every weekend on our dime but narcissism omg gtfo with your psychology bs 
1799,mdldmd7,Morgan Mc 🦋🌼,2019-11-03 14:20:11,"Indianola, IA",None,364,False,Twitter for iPhone,0,False,None,loved addressing the naacp chapter at drake university in des moines on economic freedom the freedom dividend championed by martin luther king would be a game changer thanks for hosting 
1800,Eastreadingcom,Eastreadingcommunity,2019-11-03 14:20:10,East Reading,None,3959,False,Twitter Web App,0,False,None,denmark pays its students 1 000 a month to go to university and charge no tuition fees students are seen as an investment in the future rather than a cost 
1801,AmiAmibuckle,AmiB,2019-11-03 14:20:09,South Africa,None,29,False,Twitter for iPhone,0,False,None,the university of oxford has decided to ban clapping because it is triggering to some students and to replace it with silent jazz hands this is what western civilization is becoming 
1802,AliciaS69025729,Alicia Sims,2019-11-03 14:20:08,,None,50,False,Twitter for iPhone,0,False,None,duke flags lowered today in honor of wilhelmina reuben cooke one of the university s five original african american undergraduate students recipient of the duke university distinguished alumni award she passed away oct 22 
1803,Beinders,Bhupinder Singh,2019-11-03 14:20:08,"Gurgaon, India",None,2,False,Twitter for Android,0,False,None, i wonder what made your son study at the kellogg school of management and wharton school university of pennsylvania and your daughter at the latter 
1804,Pamilerinmiayo,Nac🔱🔱🔱,2019-11-03 14:20:07,,None,2,False,Twitter for iPhone,0,False,None,we left home for studies but no rest of mind fear of death killings at kogi state university saveksu
1805,the852spirit,The 852 Spirit,2019-11-03 14:20:06,Worldwide,None,7,False,Twitter for iPhone,6,False,None,2218 stand news baptist university student journalist arrested police threatened to rape him emergencylaw hongkongprotests 113hk stridewithhk policestate 
1806,tudeisikseu,tah,2019-11-03 14:20:06,atas kasur,None,18,False,Twitter for Android,0,False,None,university professor who becomes a guitarist at night and weekend okay found my fav professor here mr jae park ill be glad to go back to college ok where do i sign up for his class 
1807,sabyasachi_uni,Sabyasachi Mukhopadhyay #DevFest19,2019-11-03 14:20:05,Kolkata,None,0,False,Twitter for Android,0,False,None,featured in 
1808,abbypants13,Abby,2019-11-03 14:20:05,,None,30263,False,Twitter for Android,0,False,None,a cornell university study found that men overestimate their abilities and performance while women underestimate both a hewlett packard report also suggests men apply for jobs when they meet 60 of the qualifications but women apply if they meet 100 apply for the jobs ladies 
1809,writerofscratch,Melon 🍈 🌈,2019-11-03 14:20:05,The Netherlands,None,0,False,Twitter for Android,1,False,1190982563717943297,if you ve ever studied at a japanese university and have any anecdotes or information about lgbt related things you ve witnessed or experienced there i would love to hear about it 
1810,jordyn74183404,jordyn,2019-11-03 14:20:05,,None,2920,False,Twitter for iPhone,0,False,None,twitter giveaway follow amp rt for a chance to win one of five thesims4 discover university codes there will be 5 different winners and the giveaway is open worldwide entry period ends november 14th good luck 
1811,mcrmccaffity,Maggie McCaffity,2019-11-03 14:20:05,,None,30263,False,Twitter for iPhone,0,False,None,a cornell university study found that men overestimate their abilities and performance while women underestimate both a hewlett packard report also suggests men apply for jobs when they meet 60 of the qualifications but women apply if they meet 100 apply for the jobs ladies 
1812,UMES_Admissions,UMES Admissions,2019-11-03 14:20:04,"Princess Anne, MD",None,1,False,Twitter for iPhone,0,False,None,the university of maryland eastern shore is now test optional learn more today 
1813,olivier_anthore,olivier_anthore,2019-11-03 14:20:03,Créteil France,None,0,False,Tumblr,0,False,None,czernyr clarice lispectors law school graduation by the university of rio de janeiro 1943 
1814,AAR_REPROGRAM,#aarsbl17 rearranged by an algorithm,2019-11-03 14:20:03,"Boston, MA",None,0,False,AAR (re)Program Book,0,False,None,animist almost feminist old materialism of giordano bruno kevin schilbrack appalachian state university an emergence theory of religion at
1815,LuzRoCorredor,Luz Rocío Corredor G,2019-11-03 14:20:02,"Bogotá, Colombia",None,4,False,Twitter for iPhone,0,False,None,learn about changing political ideologies at tomorrow s event which includes a talk by the uk s university of essex political science professor royce carroll as well as externado s government school director paola montilla happening wednesday 23rd october at 9am in d 604 
1816,AsdfghB114,Brooke,2019-11-03 14:20:02,,None,2920,False,Twitter for iPad,0,False,None,twitter giveaway follow amp rt for a chance to win one of five thesims4 discover university codes there will be 5 different winners and the giveaway is open worldwide entry period ends november 14th good luck 
1817,ChildHealthUSA,Child Health USA,2019-11-03 14:20:01,"Washington, DC",None,8,False,Buffer,0,False,None,the psychological impact of child separation at the u s mexico border by the university of texass college of social work via 
1818,THEUniAdvice,Times Higher Student,2019-11-03 14:20:00,Worldwide,None,0,False,TweetDeck,0,False,None,what do students really think of sexual violence at university 
1819,SignatureAnn,Signature A,2019-11-03 14:20:00,"Clearwater, FL",None,0,False,TweetDeck,0,False,None,showcase your degree or certificate with a usa made quality frame signatureannouncements signaturea gradfair graduation university graduationannouncements graduates2019 diplomaframes classrings memorabilia foilstamped embossed 
1820,neilorange1,Neil L’Orange,2019-11-03 14:20:00,Kingston upon Hull,None,260,False,Twitter Web App,0,False,None,if you re at university you can register to vote at both your home address and your uni address don t let the tories silence you ge2019 registertwicevoteonce 
